imgs,pred,0,1,2,3,4,5,6,7,8,9
1.jpg,bicycle,0.014182236574454669,0.8187028449720376,0.023508314318676237,0.018524965475139567,0.020235911606615958,0.025430325464536954,0.013024674152234525,0.024306086706420878,0.021583244774090106,0.020501395955793478
14.jpg,aeroplane,0.8518093089973738,0.013977574091517979,0.017781625720784785,0.013148920779703033,0.028847020113181,0.0209148207109907,0.01792744999660556,0.011655274360649878,0.01127684368526751,0.012661161543925364
15.jpg,car,0.014058551507001799,0.015285831767153986,0.012673290030549754,0.01162039487443175,0.8674945115184824,0.016717461818732408,0.014248861850374779,0.015424032619876746,0.013868612578893913,0.018608451434502057
17.jpg,boat,0.01838059729226798,0.012302838957663396,0.8528088047600517,0.021841164216411007,0.034146437578624275,0.015950974758486485,0.013047544444346557,0.009729353655385305,0.011186518490936229,0.010605765845827104
19.jpg,train,0.021474166925765648,0.02088025452382832,0.02285701135127244,0.019697206419468417,0.023092456249606395,0.021759372847238022,0.01754022481041074,0.020173952712098663,0.021383362841662493,0.8111419913186487
23.jpg,motorbike,0.014620047252740992,0.048384726154522266,0.012159582292899892,0.011446442413958669,0.01565178949114571,0.015060404300719267,0.012170761551069876,0.8442646322542692,0.011448888939730267,0.01479272534894383
28.jpg,motorbike,0.023840123251017586,0.02101154591862114,0.0271650225006866,0.017663514605055684,0.024788879044131407,0.02072656888869687,0.018921659424026353,0.8030411374536515,0.017696547279887148,0.025145001634225585
30.jpg,sofa,0.01947407476863431,0.01683866946981963,0.018510472288473426,0.014881012284631234,0.021111782556836624,0.027015053672299342,0.03461819024664475,0.016913418789267363,0.8104616782721323,0.020175647651261102
36.jpg,train,0.018822438202501793,0.021427846860654756,0.02122052765947564,0.028092094988333614,0.021761662791233,0.017457790338374822,0.016866708613447762,0.019391398765171732,0.017855763410788227,0.8171037683700187
37.jpg,car,0.016057296767679252,0.019221421928606833,0.017751132772121266,0.041275828783466875,0.812833667751463,0.017252345809033787,0.012807475579419638,0.021516912272969067,0.017341635200103504,0.023942283135136862
38.jpg,train,0.014173360039412405,0.01803553326702959,0.019009851529965597,0.026094835535440362,0.022191377424886014,0.019326455820708396,0.014283063228585989,0.018047967861727975,0.0168795304242645,0.8319580248679791
41.jpg,bus,0.013429137904418922,0.013979781115438657,0.012519582531357936,0.8258905224602158,0.04543139963541272,0.016317259934037015,0.013058500097787881,0.01479751835683692,0.012837406291179784,0.031738891673314444
